tweet_id, tweet_time, tweet_author, tweet_author_id, tweet_language, tweet_lon, tweet_lat, tweet_text, tweet_url,label
'471672480017305600',Wed May 28 15:20:57 +0000 2014,GothicRevolt,1413607790,en,NA,NA,Now On YouTube: Fall Out Boy‰Ûªs Final Young Blood Chronicles | News | Rock Sound http://t.co/AK2Wf3u3Y7 via @rocksound,https://twitter.com/GothicRevolt/status/471672480017305600,Not physical landslide
'471672900337287168',Wed May 28 15:22:37 +0000 2014,MediaTracker09,2241441607,en,NA,NA,Landslide danger ends search for 3 in Colorado http://t.co/MTQJ0ixrjs,https://twitter.com/MediaTracker09/status/471672900337287168,Physical landslide
'473423136860291072',Mon Jun 02 11:17:26 +0000 2014,MileHighHockey,25867420,en,NA,NA,"Colorado Avalanche: News from around the NHL June 2, 2014 http://t.co/TJMRMdPveD",https://twitter.com/MileHighHockey/status/473423136860291072,Physical landslide
'476566542713618432',Wed Jun 11 03:28:12 +0000 2014,Cajelle,32952711,en,NA,NA,@luvvie @lexxaye damn I was trying to rock dark navy blue this fall.,https://twitter.com/Cajelle/status/476566542713618432,Not physical landslide
'476567107736313858',Wed Jun 11 03:30:27 +0000 2014,MikeChambers,223735077,en,NA,NA,#Avalanche formally interviewed Denver native Brendan Lemieux at NHL combine http://t.co/bTY9W5ITxi,https://twitter.com/MikeChambers/status/476567107736313858,Not physical landslide
'476567136283152385',Wed Jun 11 03:30:34 +0000 2014,GabbySlurpee,634219780,en,NA,NA,"And if you see my reflection in the snow covered well maybe, the landslide will bring you down.",https://twitter.com/GabbySlurpee/status/476567136283152385,Not physical landslide
'476567182558900224',Wed Jun 11 03:30:45 +0000 2014,frenteBinternet,256086285,es,NA,NA,Nuevas plagas podrÌ_an generarse tras avalancha turÌ_stica a Brasil http://t.co/cN23TgnJrw,https://twitter.com/frenteBinternet/status/476567182558900224,Not physical landslide
'476567354977951746',Wed Jun 11 03:31:26 +0000 2014,Promo_Culturel,1962201474,en,NA,NA,Top Mp3 Hard rock - #4: Witnessing the Fall: Witnessing the Fall Svart Crown | Fo... http://t.co/ZpY2Qm6cx1 Store http://t.co/kSiMGpxCBx,https://twitter.com/Promo_Culturel/status/476567354977951746,Not physical landslide
'476567436561375233',Wed Jun 11 03:31:45 +0000 2014,Get_Hughes_2_It,344803816,it,NA,NA,#squad @REFLEXfootball #Avalanche http://t.co/YLemZRXCK8,https://twitter.com/Get_Hughes_2_It/status/476567436561375233,Not physical landslide
'476567897200812034',Wed Jun 11 03:33:35 +0000 2014,BukoTime,33310738,en,NA,NA,"Can't wait for the avalanche of ""Kawhi has made the leap"" columns tomorrow -- nevermind the fact he was a ghost in first 2 games.",https://twitter.com/BukoTime/status/476567897200812034,Not physical landslide
'476568294019715074',Wed Jun 11 03:35:10 +0000 2014,sundararajan_a,15999762,en,NA,NA,"Watched ""Devil's pass"" (http://t.co/D9tIiXEtyQ) last night. Guess I'd have settled for avalanche / infrasound and/or govt. conspiracy....",https://twitter.com/sundararajan_a/status/476568294019715074,Not physical landslide
'476568576661258240',Wed Jun 11 03:36:17 +0000 2014,AirDJ31,35511878,en,NA,NA,Would've thought an avalanche of Miami fateful would be flowing right out of AAA by now. Guessed they learned their lesson.,https://twitter.com/AirDJ31/status/476568576661258240,Not physical landslide
'476568601798148096',Wed Jun 11 03:36:23 +0000 2014,MarianaPanz,1772016996,en,NA,NA,"Climbed a mountain and I turned around, and I saw my reflection in the snow-covered hills, and the landslide brought me down. -FleetwoodMac",https://twitter.com/MarianaPanz/status/476568601798148096,Not physical landslide
'476568805900959745',Wed Jun 11 03:37:12 +0000 2014,les12341_,2400371386,en,NA,NA,I fall inlove with the girl at the rock show ...,https://twitter.com/les12341_/status/476568805900959745,Not physical landslide
'476569227030458369',Wed Jun 11 03:38:52 +0000 2014,RealMcCoy12,243894749,en,NA,NA,Someday you will find me caught beneath the landslide and a champagne supernova in the sky.,https://twitter.com/RealMcCoy12/status/476569227030458369,Not physical landslide
'476569313441513473',Wed Jun 11 03:39:13 +0000 2014,olddogg3,883573909,en,NA,NA,"Brat's landslide forces Obama's hand. Fearing loss of the Congress, he'll do unilateral Gun control &amp; Amnesty BEFORE the mid term election.",https://twitter.com/olddogg3/status/476569313441513473,Not physical landslide
'476569378746802177',Wed Jun 11 03:39:28 +0000 2014,UBVRescateMON,2223801234,es,NA,NA,#RescateUBVMonagas Nuevas plagas podrÌ_an generarse tras avalancha turÌ_stica a Brasil http://t.co/h397pjVn50,https://twitter.com/UBVRescateMON/status/476569378746802177,Not physical landslide
'476569438305533952',Wed Jun 11 03:39:42 +0000 2014,Mprest13,366308859,en,NA,NA,Let the avalanche of Heat haters come on by and take a swing. If twitter is any indication the Spurs have already won the title.,https://twitter.com/Mprest13/status/476569438305533952,Not physical landslide
'476569537597681664',Wed Jun 11 03:40:06 +0000 2014,FrankLymanDress,787156176,en,NA,NA,Rock star #fashion #dress #trend for Fall 14. #styletip must have #style #jackets http://t.co/yxmaK0oc8j Free ship CAN/USA,https://twitter.com/FrankLymanDress/status/476569537597681664,Not physical landslide
'476569626676297728',Wed Jun 11 03:40:27 +0000 2014,nico_parrino,1296298826,es,NA,NA,"@GianMinoldo22 jajaposta boludo, en la popular arriba hubo una avalancha cuando nos erramos un gol y qede a 20 mts d mi hno, dia insuperable",https://twitter.com/nico_parrino/status/476569626676297728,Not physical landslide
'476570092378259456',Wed Jun 11 03:42:18 +0000 2014,SocialismoMat,1959434299,es,NA,NA,#Maturin #Monagas Nuevas plagas podrÌ_an generarse tras avalancha turÌ_stica a Brasil http://t.co/iBrI2jWe0m,https://twitter.com/SocialismoMat/status/476570092378259456,Not physical landslide
'476570602116218880',Wed Jun 11 03:44:20 +0000 2014,luisenca23,421120814,es,NA,NA,Nuevas plagas podrÌ_an generarse tras avalancha turÌ_stica a Brasil http://t.co/6CPefsRPaQ,https://twitter.com/luisenca23/status/476570602116218880,Not physical landslide
